# Nadsat glossary for Casper — source: https://thischickreads.com/nadsat-language-glossary/
# headword\tdefinition (UTF-8, Latin-only)
headword	definition
appy polly loggies	Apologies |  | Origin: This term is an exaggerated twist on the word "apologies," turning what should be a polite, remorseful expression into something almost farcical.
appy polly loggy	Apologies |  | Origin: This term is an exaggerated twist on the word "apologies," turning what should be a polite, remorseful expression into something almost farcical.
appy-polly-loggies	Apologies |  | Origin: This term is an exaggerated twist on the word "apologies," turning what should be a polite, remorseful expression into something almost farcical.
auto	Car |  | Origin: This one feels straightforward, but it's worth noting how Burgess gives it a little extra flavor. "Auto" is, of course, short for "automobile," but what makes it interesting is how it mirrors the Russian word avto.
baboochka	Old woman |  | Origin: Borrowed directly from the Russian word babushka, which literally means "grandmother." In Nadsat, it broadens to encompass any older woman, but the underlying connotation is one of frailty or old-fashioned behavior.
baboochkas	Old woman |  | Origin: Borrowed directly from the Russian word babushka, which literally means "grandmother." In Nadsat, it broadens to encompass any older woman, but the underlying connotation is one of frailty or old-fashioned behavior.
baddiwad	Bad |  | Origin: This term comes across as something a toddler might say-it's almost childishly simple. Burgess here plays with the way language is often softened or made more playful by kids, which is a fascinating contrast to the violent and complex world Alex inhabits.
banda	Band or gang |  | Origin: Straight from the Russian banda, which literally means "gang."
barry place	Prison |  | Origin: This term is a bit of linguistic shorthand that plays off the idea of "bars" on windows. It feels flippant and informal, the kind of dismissive nickname you'd expect from someone who views authority and punishment as a joke.
bezoomny	Mad, crazy |  | Origin: Borrowed from the Russian word bezumnyj, this term captures the chaotic mental state of many characters in A Clockwork Orange.
biblio	Library |  | Origin: From the Russian biblioteka. This word feels almost quaint in its simplicity, reflecting how libraries and books might be perceived as relics in Alex's hyper-modern, tech-driven society.
bitva	Battle |  | Origin: Taken from the Russian bitva, meaning "battle." In the context of Nadsat, it's a word loaded with aggression, fitting seamlessly into Alex's violent worldview.
blub	Weep, cry |  | Origin: This term is an English slang word rather than a Nadsat invention, but it's worth noting for its dismissive tone. Derived from "blubber," it turns the act of crying into something almost laughable or childish, which is perfectly in line with Alex's unsympathetic perspective.
bog	God |  | Origin: Borrowed from the Russian word bog. This term has a weighty, universal feel, but it's interesting how Burgess uses it in such a clipped, utilitarian way.
bolnoy	Sick |  | Origin: From the Russian bolʹnoj, meaning "ill." This term is often used in both a literal and metaphorical sense in Nadsat, referring to physical illness but also to societal or moral decay.
bolshy	Big or great |  | Origin: Derived from the Russian bolʹšoj, this term feels grand and authoritative.
boomaboom	Thunder |  | Origin: Onomatopia. This term feels almost childish in its mimicry of the sound of thunder..
boorjoyce	Bourgeois |  | Origin: A phonetic play on the French "bourgeois," but here Burgess exaggerates its pronunciation into something almost comical.
brat	Brother |  | Origin: Borrowed from the Russian brat. Simple, direct, and very fitting for the tribal, brotherhood-like nature of Alex's gang.
bratchny	Bastard |  | Origin: Seems to come from the Russian word bračnyj, meaning "matrimonial." Burgess appears to invert its meaning here, implying "out-of-wedlock." It's a clever twist that adds a layer of complexity to an otherwise straightforward insult.
bratty	Brother |  | Origin: Borrowed from the Russian brat. Simple, direct, and very fitting for the tribal, brotherhood-like nature of Alex's gang.
